"zip"|"name"|"employment"|"annual_payroll"|"lat"|"long"|"dma_code"|"dma_name"
"244"|1863|"NORTH CHELMSFORD, MA"|2666|154623|42.633932|-71.387727|506|"Boston et al, MA-NH"
"245"|1864|"NORTH READING, MA"|6455|476346|42.581009|-71.091672|506|"Boston et al, MA-NH"
"246"|1867|"READING, MA"|7619|309539|42.528371|-71.108684|506|"Boston et al, MA-NH"
"247"|1876|"TEWKSBURY, MA"|13741|819618|42.604854|-71.223387|506|"Boston et al, MA-NH"
"248"|1879|"TYNGSBORO, MA"|3734|134640|42.668185|-71.420144|506|"Boston et al, MA-NH"
"249"|1880|"WAKEFIELD, MA"|12713|778137|42.500359|-71.067256|506|"Boston et al, MA-NH"
"250"|1886|"WESTFORD, MA"|9750|872777|42.590114|-71.437965|506|"Boston et al, MA-NH"
"251"|1887|"WILMINGTON, MA"|16794|1047378|42.558039|-71.172452|506|"Boston et al, MA-NH"
"252"|1890|"WINCHESTER, MA"|7019|362806|42.45313|-71.143752|506|"Boston et al, MA-NH"
"253"|1901|"LYNN, MA"|6316|242413|42.463034|-70.944564|506|"Boston et al, MA-NH"
"254"|1902|"LYNN, MA"|3512|124900|42.46991|-70.941497|506|"Boston et al, MA-NH"
"255"|1904|"LYNN, MA"|2304|76905|42.487957|-70.962888|506|"Boston et al, MA-NH"
"256"|1905|"LYNN, MA"|3697|151960|42.464709|-70.972109|506|"Boston et al, MA-NH"
"257"|1906|"SAUGUS, MA"|9574|253471|42.46411|-71.011853|506|"Boston et al, MA-NH"
"258"|1907|"SWAMPSCOTT, MA"|2710|84035|42.474694|-70.908983|506|"Boston et al, MA-NH"
"259"|1908|"NAHANT, MA"|344|10168|42.425884|-70.927396|506|"Boston et al, MA-NH"
